timestamp,agent,phase,hand,previous_bids,bid_choice,selected_card,current_trick,game_mode,bids,my_played_cards,global_played_cards,tricks_played,tricks_won,dealer_index
2025-02-21T10:12:16.802771,ML Agent 2,playing,2C;3C;4H;2S;5S,,,5S,0:QD;1:9D,HIGH,0:3S;3:6S,AC;AH;AD;JS;7S;8H;5C;3D,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D,8,2;1;3;2,
2025-02-21T10:12:17.306804,ML Agent 3,playing,6S;9S;2D;4D;5D,,,5D,0:QD;1:9D;2:5S,HIGH,0:3S;3:6S,8C;QH;8D;AS;KS;TH;TS;7D,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D,8,2;1;3;2,
2025-02-21T10:12:19.335342,ML Agent 1,playing,7C;2H;3H;5H,,,5H,0:9H,HIGH,0:3S;3:6S,QC;KH;JD;QS;4S;JH;TC;TD;9D,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D,9,3;1;3;2,
2025-02-21T10:12:19.837003,ML Agent 2,playing,2C;3C;4H;2S,,,4H,0:9H;1:5H,HIGH,0:3S;3:6S,AC;AH;AD;JS;7S;8H;5C;3D;5S,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D,9,3;1;3;2,
2025-02-21T10:12:20.340212,ML Agent 3,playing,6S;9S;2D;4D,,,9S,0:9H;1:5H;2:4H,HIGH,0:3S;3:6S,8C;QH;8D;AS;KS;TH;TS;7D;5D,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D,9,3;1;3;2,
2025-02-21T10:12:23.081981,ML Agent 1,playing,7C;2H;3H,,,7C,0:9C,HIGH,0:3S;3:6S,QC;KH;JD;QS;4S;JH;TC;TD;9D;5H,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S,10,4;1;3;2,
2025-02-21T10:12:23.582783,ML Agent 2,playing,2C;3C;2S,,,3C,0:9C;1:7C,HIGH,0:3S;3:6S,AC;AH;AD;JS;7S;8H;5C;3D;5S;4H,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S,10,4;1;3;2,
2025-02-21T10:12:24.086446,ML Agent 3,playing,6S;2D;4D,,,6S,0:9C;1:7C;2:3C,HIGH,0:3S;3:6S,8C;QH;8D;AS;KS;TH;TS;7D;5D;9S,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S,10,4;1;3;2,
2025-02-21T10:12:25.121563,ML Agent 1,playing,2H;3H,,,3H,0:6C,HIGH,0:3S;3:6S,QC;KH;JD;QS;4S;JH;TC;TD;9D;5H;7C,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S,11,5;1;3;2,
2025-02-21T10:12:25.623025,ML Agent 2,playing,2C;2S,,,2C,0:6C;1:3H,HIGH,0:3S;3:6S,AC;AH;AD;JS;7S;8H;5C;3D;5S;4H;3C,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S,11,5;1;3;2,
2025-02-21T10:12:26.126337,ML Agent 3,playing,2D;4D,,,4D,0:6C;1:3H;2:2C,HIGH,0:3S;3:6S,8C;QH;8D;AS;KS;TH;TS;7D;5D;9S;6S,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S,11,5;1;3;2,
2025-02-21T10:12:27.348662,ML Agent 1,playing,2H,,,2H,0:4C,HIGH,0:3S;3:6S,QC;KH;JD;QS;4S;JH;TC;TD;9D;5H;7C;3H,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S;6C;3H;2C;4D,12,6;1;3;2,
2025-02-21T10:12:27.850461,ML Agent 2,playing,2S,,,2S,0:4C;1:2H,HIGH,0:3S;3:6S,AC;AH;AD;JS;7S;8H;5C;3D;5S;4H;3C;2C,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S;6C;3H;2C;4D,12,6;1;3;2,
2025-02-21T10:12:28.353105,ML Agent 3,playing,2D,,,2D,0:4C;1:2H;2:2S,HIGH,0:3S;3:6S,8C;QH;8D;AS;KS;TH;TS;7D;5D;9S;6S;4D,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S;6C;3H;2C;4D,12,6;1;3;2,
2025-02-21T10:12:39.778536,ML Agent 1,bidding,4C;8C;TC;KC;TH;4S;8S;KS;5D;8D;9D;TD;QD,,high,KS,,,,,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S;6C;3H;2C;4D;4C;2H;2S;2D,0,,0
2025-02-21T10:12:48.029981,ML Agent 1,playing,4C;8C;TC;KC;TH;4S;8S;KS;5D;8D;9D;TD;QD,,,KS,0:AS,HIGH,1:KS,QC;KH;JD;QS;4S;JH;TC;TD;9D;5H;7C;3H;2H,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S;6C;3H;2C;4D;4C;2H;2S;2D,0,0;0;0;0,
2025-02-21T10:12:48.532260,ML Agent 2,playing,9C;JC;QC;AC;2H;3H;AH;2S;3S;JS;2D;3D;6D,,,JS,0:AS;1:KS,HIGH,1:KS,AC;AH;AD;JS;7S;8H;5C;3D;5S;4H;3C;2C;2S,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S;6C;3H;2C;4D;4C;2H;2S;2D,0,0;0;0;0,
2025-02-21T10:12:49.035071,ML Agent 3,playing,6C;7C;7H;8H;QH;KH;5S;6S;7S;9S;TS;QS;JD,,,QS,0:AS;1:KS;2:JS,HIGH,1:KS,8C;QH;8D;AS;KS;TH;TS;7D;5D;9S;6S;4D;2D,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S;6C;3H;2C;4D;4C;2H;2S;2D,0,0;0;0;0,
2025-02-21T10:12:53.529648,ML Agent 1,playing,4C;8C;TC;KC;TH;4S;8S;5D;8D;9D;TD;QD,,,QD,0:AD,HIGH,1:KS,QC;KH;JD;QS;4S;JH;TC;TD;9D;5H;7C;3H;2H;KS,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S;6C;3H;2C;4D;4C;2H;2S;2D;AS;KS;JS;QS,1,1;0;0;0,
2025-02-21T10:12:54.031777,ML Agent 2,playing,9C;JC;QC;AC;2H;3H;AH;2S;3S;2D;3D;6D,,,6D,0:AD;1:QD,HIGH,1:KS,AC;AH;AD;JS;7S;8H;5C;3D;5S;4H;3C;2C;2S;JS,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S;6C;3H;2C;4D;4C;2H;2S;2D;AS;KS;JS;QS,1,1;0;0;0,
2025-02-21T10:12:54.534593,ML Agent 3,playing,6C;7C;7H;8H;QH;KH;5S;6S;7S;9S;TS;JD,,,JD,0:AD;1:QD;2:6D,HIGH,1:KS,8C;QH;8D;AS;KS;TH;TS;7D;5D;9S;6S;4D;2D;QS,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S;6C;3H;2C;4D;4C;2H;2S;2D;AS;KS;JS;QS,1,1;0;0;0,
2025-02-21T10:12:55.810977,ML Agent 1,playing,4C;8C;TC;KC;TH;4S;8S;5D;8D;9D;TD,,,TD,0:KD,HIGH,1:KS,QC;KH;JD;QS;4S;JH;TC;TD;9D;5H;7C;3H;2H;KS;QD,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S;6C;3H;2C;4D;4C;2H;2S;2D;AS;KS;JS;QS;AD;QD;6D;JD,2,2;0;0;0,
2025-02-21T10:12:56.312710,ML Agent 2,playing,9C;JC;QC;AC;2H;3H;AH;2S;3S;2D;3D,,,3D,0:KD;1:TD,HIGH,1:KS,AC;AH;AD;JS;7S;8H;5C;3D;5S;4H;3C;2C;2S;JS;6D,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D;QD;9D;5S;5D;9H;5H;4H;9S;9C;7C;3C;6S;6C;3H;2C;4D;4C;2H;2S;2D;AS;KS;JS;QS;AD;QD;6D;JD,2,2;0;0;0,
